Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,156.06,-93.22,90.0,top
BZ1,Buzzer,SPKR_PKMCS0909E4000-R1,154.2,-114.76,0.0,top
C1,10uF,C_0805_2012Metric,152.9,-99.27,0.0,top
C2,10uF,C_0805_2012Metric,156.56,-99.29,0.0,top
C3,100nF,C_0603_1608Metric,129.875,-85.22,0.0,top
C4,100nF,C_0603_1608Metric,129.875,-86.73,180.0,top
C6,10uF,C_0805_2012Metric,130.3,-99.56,180.0,top
C7,10uF,C_0805_2012Metric,133.96,-99.52,0.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4110,142.15,-114.21,0.0,top
R1,10k,R_0402_1005Metric,132.12,-82.63,0.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,143.02,-88.34,0.0,top
U2,~,Bosch_LGA-14_3x2.5mm_P0.5mm,130.53,-89.7225,180.0,top
U3,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,154.58,-104.82,-90.0,top
U5,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,132.05,-105.01,-90.0,top
